ファイルインデックス名　: File Index Name        : 0153        .A  
翼型整理番号　　　　　　: Airfoil Serial No.     : R01-0014-1
翼型名　　　　　　　　　: Airfoil Name           : R.A.F. 14
翼型ファイル番号　　　　: Airfoil File No.       : 0153
翼型情報　　　　　　　　: Airfoil Information    : Original

算出前縁半径　　　　　　: Computed L.E.R.        : ?
算出前縁傾斜　　　　　　: Computed Slope of L.E. : ?
算出プログラム番号　　　: Computed Program No.   : B84-902CX6.1


座標　　　　　　　　　　: Plot Ordinates         :

 X             Y

 1.00000       0.00380
 0.94801       0.01648
 0.89900       0.02669
 0.85274       0.03491
 0.80903       0.04155
 0.76769       0.04705
 0.72855       0.05152
 0.69146       0.05502
 0.65627       0.05762
 0.62287       0.05963
 0.59112       0.06125
 0.56094       0.06266
 0.53220       0.06383
 0.50483       0.06483
 0.47874       0.06576
 0.45384       0.06659
 0.43007       0.06733
 0.40737       0.06799
 0.38566       0.06869
 0.36489       0.06935
 0.34501       0.06990
 0.32596       0.07030
 0.30771       0.07055
 0.29020       0.07047
 0.27340       0.07010
 0.25728       0.06956
 0.24178       0.06889
 0.22689       0.06809
 0.21257       0.06719
 0.19879       0.06622
 0.18552       0.06529
 0.17275       0.06423
 0.16044       0.06301
 0.14858       0.06161
 0.13713       0.05997
 0.12610       0.05813
 0.11544       0.05607
 0.10515       0.05377
 0.09521       0.05118
 0.08561       0.04835
 0.07633       0.04545
 0.06735       0.04253
 0.05866       0.03952
 0.05026       0.03642
 0.04212       0.03319
 0.03424       0.02977
 0.02660       0.02614
 0.01920       0.02226
 0.01203       0.01802
 0.00508       0.01312
 0.00168       0.00997
 0.00000       0.00680
 0.00000       0.00680
 0.00168       0.00396
 0.00508       0.00248
 0.01203       0.00124
 0.01920       0.00065
 0.02660       0.00023
 0.03424       0.00002
 0.04212       0.00000
 0.05026       0.00008
 0.05866       0.00034
 0.06735       0.00091
 0.07633       0.00167
 0.08561       0.00251
 0.09521       0.00342
 0.10515       0.00447
 0.11544       0.00566
 0.12610       0.00688
 0.13713       0.00810
 0.14858       0.00927
 0.16044       0.01015
 0.17275       0.01092
 0.18552       0.01158
 0.19879       0.01215
 0.21257       0.01265
 0.22689       0.01307
 0.24178       0.01340
 0.25728       0.01365
 0.27340       0.01381
 0.29020       0.01389
 0.30771       0.01388
 0.32596       0.01376
 0.34501       0.01357
 0.36489       0.01330
 0.38566       0.01296
 0.40737       0.01256
 0.43007       0.01211
 0.45384       0.01161
 0.47874       0.01107
 0.50483       0.01050
 0.53220       0.00994
 0.56094       0.00934
 0.59112       0.00869
 0.62287       0.00797
 0.65627       0.00719
 0.69146       0.00639
 0.72855       0.00563
 0.76769       0.00485
 0.80903       0.00393
 0.85274       0.00271
 0.89900       0.00191
 0.94801       0.00206
 1.00000       0.00380
